Year,Shamsi_Year,Manufacturer,Model,Fuel_Type,Engine_Type,Power_hp,Torque_Nm,Fuel_Consumption_L100km,Acceleration_0_100_s,Top_Speed_kmh,CO2_Emission_g_km,Emission_Standard,Score,Key_Options,Image_URL
2001,1380,Iran Khodro,Paykan,Petrol,"1.6L I4, 8-valve",67,110,9.5,16.0,145,210,Euro 2,3.0,"Basic, Manual Transmission",N/A
2001,1380,Iran Khodro,Peugeot 206,Petrol,"1.4L I4, 8-valve",75,118,7.0,13.5,175,175,Euro 2,7.0,"ABS, EBD, Power Steering",https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Peugeot_206_%28facelift%29_%28Front%29.jpg/1280px-Peugeot_206_%28facelift%29_%28Front%29.jpg
2001,1380,Iran Khodro,Samand,Petrol / CNG,"1.8L I4, 8-valve",100,153,8.5,11.9,185,190,Euro 2,6.5,"ABS, Power Steering, Airbag (optional)",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Iran_Khodro_Samand_02.jpg/1280px-Iran_Khodro_Samand_02.jpg
2001,1380,Saipa,Pride,Petrol,"1.3L I4, 8-valve",63,103,6.8,14.5,170,165,Euro 2,4.5,"Basic, Manual Transmission",N/A
2002,1381,Iran Khodro,Paykan,Petrol,"1.6L I4, 8-valve",67,110,9.5,16.0,145,210,Euro 2,3.0,"Basic, Manual Transmission",N/A
2002,1381,Iran Khodro,Peugeot 206,Petrol,"1.4L I4, 8-valve",75,118,7.0,13.5,175,175,Euro 2,7.0,"ABS, EBD, Power Steering",https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Peugeot_206_%28facelift%29_%28Front%29.jpg/1280px-Peugeot_206_%28facelift%29_%28Front%29.jpg
2002,1381,Iran Khodro,Samand,Petrol / CNG,"1.8L I4, 8-valve",100,153,8.5,11.9,185,190,Euro 2,6.5,"ABS, Power Steering, Airbag (optional)",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Iran_Khodro_Samand_02.jpg/1280px-Iran_Khodro_Samand_02.jpg
2002,1381,Saipa,Pride,Petrol,"1.3L I4, 8-valve",63,103,6.8,14.5,170,165,Euro 2,4.5,"Basic, Manual Transmission",N/A
2003,1382,Iran Khodro,Paykan,Petrol,"1.6L I4, 8-valve",67,110,9.5,16.0,145,210,Euro 2,3.0,"Basic, Manual Transmission",N/A
2003,1382,Iran Khodro,Peugeot 206,Petrol,"1.4L I4, 8-valve",75,118,7.0,13.5,175,175,Euro 2,7.0,"ABS, EBD, Power Steering",https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Peugeot_206_%28facelift%29_%28Front%29.jpg/1280px-Peugeot_206_%28facelift%29_%28Front%29.jpg
2003,1382,Iran Khodro,Samand,Petrol / CNG,"1.8L I4, 8-valve",100,153,8.5,11.9,185,190,Euro 2,6.5,"ABS, Power Steering, Airbag (optional)",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Iran_Khodro_Samand_02.jpg/1280px-Iran_Khodro_Samand_02.jpg
2003,1382,Saipa,Pride,Petrol,"1.3L I4, 8-valve",63,103,6.8,14.5,170,165,Euro 2,4.5,"Basic, Manual Transmission",N/A
2004,1383,Iran Khodro,Paykan,Petrol,"1.6L I4, 8-valve",67,110,9.5,16.0,145,210,Euro 2,3.0,"Basic, Manual Transmission",N/A
2004,1383,Iran Khodro,Peugeot 206,Petrol,"1.4L I4, 8-valve",75,118,7.0,13.5,175,175,Euro 2,7.0,"ABS, EBD, Power Steering",https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Peugeot_206_%28facelift%29_%28Front%29.jpg/1280px-Peugeot_206_%28facelift%29_%28Front%29.jpg
2004,1383,Iran Khodro,Samand,Petrol / CNG,"1.8L I4, 8-valve",100,153,8.5,11.9,185,190,Euro 2,6.5,"ABS, Power Steering, Airbag (optional)",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Iran_Khodro_Samand_02.jpg/1280px-Iran_Khodro_Samand_02.jpg
2004,1383,Saipa,Pride,Petrol,"1.3L I4, 8-valve",63,103,6.8,14.5,170,165,Euro 2,4.5,"Basic, Manual Transmission",N/A
2005,1384,Iran Khodro,Paykan,Petrol,"1.6L I4, 8-valve",67,110,9.5,16.0,145,210,Euro 2,3.0,"Basic, Manual Transmission",N/A
2005,1384,Iran Khodro,Peugeot 206,Petrol,"1.4L I4, 8-valve",75,118,7.0,13.5,175,175,Euro 2,7.0,"ABS, EBD, Power Steering",https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Peugeot_206_%28facelift%29_%28Front%29.jpg/1280px-Peugeot_206_%28facelift%29_%28Front%29.jpg
2005,1384,Iran Khodro,Peugeot Pars,Petrol,"1.8L I4, 8-valve",109,153,7.8,14.2,190,185,Euro 3,7.5,"Airbags, ABS, EBD",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Peugeot_Pars_%28Iran%29.jpg/1280px-Peugeot_Pars_%28Iran%29.jpg
2005,1384,Iran Khodro,Samand,Petrol / CNG,"1.8L I4, 8-valve",100,153,8.5,11.9,185,190,Euro 3,6.5,"ABS, Power Steering, Airbag (optional)",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Iran_Khodro_Samand_02.jpg/1280px-Iran_Khodro_Samand_02.jpg
2005,1384,Saipa,Pride,Petrol,"1.3L I4, 8-valve",63,103,6.8,14.5,170,165,Euro 2,4.5,"Basic, Manual Transmission",N/A
