سال_شمسی,سال_میلادی,شرکت,مدل,نوع_سوخت,مصرف_سوخت_ترکیبی,شتاب_0_100,نوع_گیربکس,حجم_باک,استاندارد_آلایندگی,امتیاز_تقریبی,وضعیت_تولید,تیپ_های_اصلی,توضیحات
1380,2001,ایران خودرو,سمند,بنزین,8.5,13.0,5 سرعته دستی,70,یورو 2,5.0,شروع تولید,X7,موتور XU7
1381,2002,ایران خودرو,سمند,بنزین,8.5,13.0,5 سرعته دستی,70,یورو 2,5.0,تولید, X7 / LX,موتور XU7
1382,2003,ایران خودرو,سمند,بنزین,8.5,13.0,5 سرعته دستی,70,یورو 2,5.0,تولید,LX,موتور XU7
1383,2004,ایران خودرو,سمند,بنزین,8.5,13.0,5 سرعته دستی,70,یورو 2,5.0,تولید,LX / EL,موتور XU7
1384,2005,ایران خودرو,سمند,بنزین,8.0,12.5,5 سرعته دستی,70,یورو 3,5.2,تولید,LX,موتور XU7
1385,2006,ایران خودرو,سمند,بنزین,8.0,12.5,5 سرعته دستی,70,یورو 3,5.2,تولید,LX / SE,موتور XU7
1386,2007,ایران خودرو,سمند,بنزین / دوگانه‌سوز,7.8,12.0,5 سرعته دستی,70,یورو 3,5.5,تولید,LX / سورن,معرفی سورن با EF7
1387,2008,ایران خودرو,سمند,بنزین / دوگانه‌سوز,7.8,12.0,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / سورن,موتور EF7
1388,2009,ایران خودرو,سمند,بنزین / دوگانه‌سوز,7.8,12.0,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / سورن,موتور EF7
1389,2010,ایران خودرو,سمند,بنزین / دوگانه‌سوز,7.8,12.0,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / سورن,موتور EF7
1390,2011,ایران خودرو,سمند,بنزین / دوگانه‌سوز,7.8,11.9,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / سورن,موتور EF7
1391,2012,ایران خودرو,سمند,بنزین / دوگانه‌سوز,7.8,11.9,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / سورن,موتور EF7
1392,2013,ایران خودرو,سمند,بنزین / دوگانه‌سوز,7.8,11.9,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / سورن,موتور EF7
1393,2014,ایران خودرو,سمند,بنزین / دوگانه‌سوز,7.8,11.9,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / سورن,موتور EF7
1394,2015,ایران خودرو,سمند,بنزین / دوگانه‌سوز,7.8,11.9,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / سورن,موتور EF7
1395,2016,ایران خودرو,سمند,بنزین / دوگانه‌سوز,7.8,11.9,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / سورن,موتور EF7
1396,2017,ایران خودرو,سمند,بنزین / دوگانه‌سوز,7.8,11.9,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / سورن,موتور EF7
1397,2018,ایران خودرو,سمند,بنزین / دوگانه‌سوز,7.8,11.9,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / سورن,موتور EF7
1398,2019,ایران خودرو,سمند,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,60-70,یورو 5,5.8,تولید,سورن پلاس,فیس‌لیفت سورن پلاس
